priority rank,old URL,old title,old meta title,old meta description,old content type,current live status,GSC evidence,featured snippet evidence,backlink evidence,source body found,source body quality,old image availability,image recovery status,Sanity status,best new route,preserve URL or redirect,redirect target,canonical,sitemap status,legal safety status,approval status,recovery classification,priority score,notes
87,https://chamanlawfirm.com/cost-of-building-approval-chaman-law-firm/,Cost Of Building Approval Chaman Law Firm,Powerful Steps: Cost of Building Approval / Chaman Law Firm,Cost of building approval in Ogun? Find out the estimated cost of obtaining building approval and other costs that influence total expenses.,general legal education,redirect configured to /practice-areas/property-real-estate-law,142 clicks; 5152 impressions; avg position 4.55 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,hidden/not approved,/practice-areas/property-real-estate-law,redirect old URL to best new route,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,included,low/medium - editorial and legal review still required,hidden/not approved,merge into existing stronger live page,1472,Selected for deep Sprint 11R recovery inventory.
88,https://chamanlawfirm.com/tthe-legal-rights-of-a-wife-after-divorce/,Tthe Legal Rights Of A Wife After Divorce,,,family law,redirect configured to /practice-areas/family-law,138 clicks; 7285 impressions; avg position 14.29 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/practice-areas/family-law,redirect old URL to best new route,/practice-areas/family-law,https://chamanlawfirm.com/practice-areas/family-law,included,high - lawyer review required before publication,not restored,merge into existing stronger live page,1453,Selected for deep Sprint 11R recovery inventory.
89,https://chamanlawfirm.com/can-a-landlord-increase-rent-arbitrarily-in-ogun/,Can A Landlord Increase Rent Arbitrarily In Ogun,Powerful Steps: Can a Landlord Increase Rent Arbitrarily,Increase Rent Arbitrarily - Learn when and how rent can be increased lawfully and what tenants can do if they believe a rent hike is unfair in Ogun,property/title,redirect configured to /practice-areas/property-real-estate-law,136 clicks; 4178 impressions; avg position 7.4 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,hidden/not approved,/practice-areas/property-real-estate-law,redirect old URL to best new route,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,included,medium - verify current law and facts before publication,hidden/not approved,merge into existing stronger live page,1452,Selected for deep Sprint 11R recovery inventory.
90,https://chamanlawfirm.com/how-to-calculate-stamp-duty-chaman-law-firm/,How To Calculate Stamp Duty Chaman Law Firm,Powerful Steps: How to calculate stamp duty /Chaman Law Firm,"How to calculate stamp duty in Ogun - Learn the applicable rates for property transactions, the property value basis, and who pays what - Chaman",general legal education,redirect configured to /resources/blog/how-to-calculate-stamp-duty-chaman-law-firm,138 clicks; 5274 impressions; avg position 6.52 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/how-to-calculate-stamp-duty-chaman-law-firm,redirect old URL to best new route,/resources/blog/how-to-calculate-stamp-duty-chaman-law-firm,https://chamanlawfirm.com/resources/blog/how-to-calculate-stamp-duty-chaman-law-firm,included,low/medium - editorial and legal review still required,approved public,restore as blog post,1433,Selected for deep Sprint 11R recovery inventory.
91,https://chamanlawfirm.com/deal-with-and-bad-tenant-as-a-landlord/,Deal With And Bad Tenant As A Landlord,How to Deal with a bad tenant as a landlord in nigeria,"As a landlord in Nigeria, dealing with bad tenants is part and parcel of property management. While many tenants fulfill their obligations respectfully,",property/title,redirect configured to /practice-areas/property-real-estate-law,130 clicks; 7642 impressions; avg position 7.8 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/practice-areas/property-real-estate-law,redirect old URL to best new route,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,included,medium - verify current law and facts before publication,approved public,merge into existing stronger live page,1426,Selected for deep Sprint 11R recovery inventory.
92,https://chamanlawfirm.com/what-governs-contract-in-nigeria/,What Governs Contract In Nigeria,Proven Steps on What Governs Contract in Nigeria?,"Chaman Law Firm explains what governs contract in Nigeria? ensuring compliance, clarity, and protection in business agreements",corporate/commercial,redirect configured to /resources/blog/what-governs-contract-in-nigeria,119 clicks; 13789 impressions; avg position 8.55 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/what-governs-contract-in-nigeria,redirect old URL to best new route,/resources/blog/what-governs-contract-in-nigeria,https://chamanlawfirm.com/resources/blog/what-governs-contract-in-nigeria,included,medium - verify current law and facts before publication,approved public,restore as blog post,1378,Selected for deep Sprint 11R recovery inventory.
93,https://chamanlawfirm.com/how-to-legally-sublet-a-property-in-nigeria/,How To Legally Sublet A Property In Nigeria,Powerful Ways on How to Legally Sublet a Property in Nigeria,"Chaman Law Firm offers on how to legally sublet a property in Nigeria, ensuring compliance, secure agreements, and protection of your rights",property/title,redirect configured to /resources/blog/how-to-legally-sublet-a-property-in-nigeria,124 clicks; 8399 impressions; avg position 5.65 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/how-to-legally-sublet-a-property-in-nigeria,redirect old URL to best new route,/resources/blog/how-to-legally-sublet-a-property-in-nigeria,https://chamanlawfirm.com/resources/blog/how-to-legally-sublet-a-property-in-nigeria,included,medium - verify current law and facts before publication,approved public,restore as blog post,1374,Selected for deep Sprint 11R recovery inventory.
94,https://chamanlawfirm.com/types-of-parties-to-a-civil-action/,Types Of Parties To A Civil Action,,,general legal education,redirect configured to /practice-areas/litigation-dispute-resolution,127 clicks; 7219 impressions; avg position 13.35 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,legacy image not confirmed,image recovery needed,not restored,/practice-areas/litigation-dispute-resolution,redirect old URL to best new route,/practice-areas/litigation-dispute-resolution,https://chamanlawfirm.com/practice-areas/litigation-dispute-resolution,included,low/medium - editorial and legal review still required,not restored,merge into existing stronger live page,1342,Selected for deep Sprint 11R recovery inventory.
95,https://chamanlawfirm.com/obtaining-governor-consent-for-land-transactions/,Obtaining Governor Consent For Land Transactions,Obtaining Governor Consent for Land Transactions,"Chaman Law Firm explains Obtaining Governor Consent for land transactions in Nigeria, ensuring, security, and protection in property ownership.",property/title,redirect configured to /resources/blog/obtaining-governor-consent-for-land-transactions,115 clicks; 14071 impressions; avg position 6.76 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/resources/blog/obtaining-governor-consent-for-land-transactions,redirect old URL to best new route,/resources/blog/obtaining-governor-consent-for-land-transactions,https://chamanlawfirm.com/resources/blog/obtaining-governor-consent-for-land-transactions,included,medium - verify current law and facts before publication,approved public,restore as blog post,1341,Selected for deep Sprint 11R recovery inventory.
96,https://chamanlawfirm.com/how-do-i-obtain-a-certificate-of-occupancy/,How Do I Obtain A Certificate Of Occupancy,Powerful Steps: How do I obtain a Certificate of Occupancy,How do i obtain a Certificate of Occupancy? Crucial for land ownership in Ogun State. Chaman Law Firm explains the steps and required documents,property/title,redirect configured to /practice-areas/property-real-estate-law,122 clicks; 6087 impressions; avg position 6.47 from local GSC Pages.csv,not available locally,not available locally in Sprint 11R,partial evidence available,requires legal/editorial review before publication,Sanity image present,image and alt present in Sanity,approved public,/practice-areas/property-real-estate-law,redirect old URL to best new route,/practice-areas/property-real-estate-law,https://chamanlawfirm.com/practice-areas/property-real-estate-law,included,low/medium - editorial and legal review still required,approved public,merge into existing stronger live page,1331,Selected for deep Sprint 11R recovery inventory.
