priority rank,legacy post ID,old URL,old slug,old title,old SEO title,old meta description,old status,old publish date,clicks,impressions,indexed/search evidence,current production status,current redirect target,body recovered yes/no,image recovered yes/no,Sanity draft exists yes/no,Sanity slug,Sanity approval status,public URL,sitemap status,redirect replacement status,legal review status,notes
46,,https://chamanlawfirm.com/statute-of-limitations-on-debt-in-nigeria/,statute-of-limitations-on-debt-in-nigeria,Empowering Insights: Understanding the Statute of Limitations on Debt in Nigeria: Unlock Success,Empowering Insights: Understanding the Statute of Limitations on Debt in Nigeria: Unlock Success,Statute of Limitations on Debt in Nigeria The statute of limitations on debt is a crucial concept in the legal and financial landscape of Nigeria...,,,229,10391,image recovery/fallback required,public article live/eligible,/resources/blog/statute-of-limitations-on-debt-in-nigeria,yes,no,no,statute-of-limitations-on-debt-in-nigeria,approved,https://chamanlawfirm.com/resources/blog/statute-of-limitations-on-debt-in-nigeria,eligible after deployment/revalidation,pending,pending lawyer review,image recovery/fallback required
47,10194,https://chamanlawfirm.com/registration-of-trade-union-in-nigeria/,registration-of-trade-union-in-nigeria,Registration Of Trade Union In Nigeria,,"REGISTRATION OF TRADE UNION IN NIGERIA, A trade union is an organization made up of members and its membership must be....",,,227,11085,GSC Pages export,not restored,/resources/blog/registration-of-trade-union-in-nigeria,no,no,no,registration-of-trade-union-in-nigeria,not approved,,excluded while hidden,pending,pending lawyer review,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
48,9486,https://chamanlawfirm.com/is-foreign-marriage-under-the-nigerian-law/,is-foreign-marriage-under-the-nigerian-law,HOW VALID IS FOREIGN MARRIAGE UNDER NIGERIAN LAW,HOW VALID IS FOREIGN MARRIAGE UNDER NIGERIAN LAW,"HOW VALID IS FOREIGN MARRIAGE UNDER THE NIGERIAN LAW, The customary procedure among Nigerians who reside abroad has been to..",,,227,9164,GSC Pages export and Sprint 10C inventory,not restored,/resources/blog/is-foreign-marriage-under-the-nigerian-law,no,no,no,is-foreign-marriage-under-the-nigerian-law,not approved,,excluded while hidden,pending,pending lawyer review,image recovery/fallback required
49,9722,https://chamanlawfirm.com/how-to-file-complaint-against-police-officers-in-nigeria/,how-to-file-complaint-against-police-officers-in-nigeria,How To File Complaint Against Police Officers In Nigeria,,"HOW TO FILE COMPLAINT AGAINST POLICE OFFICERS IN NIGERIA, To file a complaint against a police officer in Nigeria...",,,226,14028,GSC Pages export,not restored,/resources/blog/how-to-file-complaint-against-police-officers-in-nigeria,no,no,no,how-to-file-complaint-against-police-officers-in-nigeria,not approved,,excluded while hidden,pending,pending lawyer review,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
50,9935,https://chamanlawfirm.com/abandonment-and-withdrew-of-court-action/,abandonment-and-withdrew-of-court-action,What You Need to Know About Consequence of Abandonment and Withdrew of Court Action in Nigeria,Proven Steps on Abandonment and Withdrew of Court Action,"Chaman Law Firm explains the consequences of Abandonment and Withdrew of Court Action in Nigeria, clarity and guidance on litigation decisions",,,219,10144,GSC Pages export,not restored,/resources/blog/abandonment-and-withdrew-of-court-action,no,no,no,abandonment-and-withdrew-of-court-action,not approved,,excluded while hidden,pending,pending lawyer review,image recovery/fallback required
51,,https://chamanlawfirm.com/taxation-of-sole-proprietorship/,taxation-of-sole-proprietorship,Taxation Of Sole Proprietorship,,,,,215,10558,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required,not restored,/resources/blog/taxation-of-sole-proprietorship,no,no,no,taxation-of-sole-proprietorship,not approved,,excluded while hidden,pending,pending lawyer review,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
52,,https://chamanlawfirm.com/customary-vs-statutory-marriage-in-nigeria/,customary-vs-statutory-marriage-in-nigeria,Customary Vs Statutory Marriage In Nigeria,,,,,214,22906,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required,not restored,/resources/blog/customary-vs-statutory-marriage-in-nigeria,no,no,no,customary-vs-statutory-marriage-in-nigeria,not approved,,excluded while hidden,pending,pending lawyer review,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
53,,https://chamanlawfirm.com/powerful-steps-what-is-trespass-to-land-2/,powerful-steps-what-is-trespass-to-land-2,What is Trespass to Land,Powerful Steps: What is Trespass to Land | Chaman Law Firm,"Learn What is Trespass to Land means, including its legal definition, examples, consequences, and remedies available under Nigerian property law.",,,212,17921,image recovery/fallback required,not restored,/resources/blog/powerful-steps-what-is-trespass-to-land-2,no,no,no,powerful-steps-what-is-trespass-to-land-2,not approved,,excluded while hidden,pending,pending lawyer review,image recovery/fallback required
54,,https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education/,the-role-of-technology-in-nigerian-education,The Role Of Technology In Nigerian Education,,,,,210,19932,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required,not restored,/resources/blog/the-role-of-technology-in-nigerian-education,no,no,no,the-role-of-technology-in-nigerian-education,not approved,,excluded while hidden,pending,pending lawyer review,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
55,,https://chamanlawfirm.com/certificate-of-occupancy-in-rivers-state/,certificate-of-occupancy-in-rivers-state,Certificate Of Occupancy In Rivers State,,,,,210,5338,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required,not restored,/resources/blog/certificate-of-occupancy-in-rivers-state,no,no,no,certificate-of-occupancy-in-rivers-state,not approved,,excluded while hidden,pending,pending lawyer review,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
56,,https://chamanlawfirm.com/the-duties-of-lawyers-to-client/,the-duties-of-lawyers-to-client,The Duties of Lawyers to Clients: 6 Essential Responsibilities for Trust and Success,The Duties of Lawyers to Clients: 6 Essential Responsibilities for Trust and Success,"THE DUTIES OF LAWYERS TO CLIENT There are ethics and professional code of conduct which a lawyer must adhere to. In Nigeria, lawyers are bound by the rules of professional conduct (RPC). The rules of professional cond...",,,202,10665,image recovery/fallback required,not restored,/resources/blog/the-duties-of-lawyers-to-client,no,no,no,the-duties-of-lawyers-to-client,not approved,,excluded while hidden,pending,pending lawyer review,image recovery/fallback required
57,,https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria/,duties-of-correctional-institutions-in-nigeria,Duties Of Correctional Institutions In Nigeria,,,,,197,25303,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required,not restored,/resources/blog/duties-of-correctional-institutions-in-nigeria,no,no,no,duties-of-correctional-institutions-in-nigeria,not approved,,excluded while hidden,pending,pending lawyer review,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
58,,https://chamanlawfirm.com/how-to-secure-child-support-and-maintenance/,how-to-secure-child-support-and-maintenance,How To Secure Child Support And Maintenance,,,,,194,18502,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required,not restored,/resources/blog/how-to-secure-child-support-and-maintenance,no,no,no,how-to-secure-child-support-and-maintenance,not approved,,excluded while hidden,pending,pending lawyer review,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
59,,https://chamanlawfirm.com/to-apply-for-and-get-certificate-of-occupancy/,to-apply-for-and-get-certificate-of-occupancy,To Apply For And Get Certificate Of Occupancy,,,,,188,21261,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required,not restored,/resources/blog/to-apply-for-and-get-certificate-of-occupancy,no,no,no,to-apply-for-and-get-certificate-of-occupancy,not approved,,excluded while hidden,pending,pending lawyer review,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
60,,https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document/,stamping-and-up-stamping-of-a-mortgage-document,What is Stamping and Up-Stamping of a Mortgage Document,Proven: Stamping and Up-Stamping of a Mortgage Document,process of Stamping and Up-Stamping of a Mortgage Document for commercial properties and why it matters for legal and financial transactions.,,,187,6730,image recovery/fallback required,not restored,/resources/blog/stamping-and-up-stamping-of-a-mortgage-document,no,no,no,stamping-and-up-stamping-of-a-mortgage-document,not approved,,excluded while hidden,pending,pending lawyer review,image recovery/fallback required
61,,https://chamanlawfirm.com/how-to-legally-change-a-child-surname/,how-to-legally-change-a-child-surname,How To Legally Change A Child Surname,,,,,180,10512,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content,not restored,https://chamanlawfirm.com/how-to-legally-change-a-child-surname/,no,no,no,how-to-legally-change-a-child-surname,not approved,,excluded while hidden,pending,not required unless revived,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required; redirect planning only; do not publish as article without equivalent content
