priority rank,old URL,old slug,proposed new URL,proposed slug,title,SEO title,meta description,clicks,impressions,practice area,category,migration decision,author,image status,legal review status,approval status,redirect status,sitemap status,notes
47,https://chamanlawfirm.com/registration-of-trade-union-in-nigeria/,registration-of-trade-union-in-nigeria,/resources/blog/registration-of-trade-union-in-nigeria,registration-of-trade-union-in-nigeria,Registration Of Trade Union In Nigeria,,,227,11085,Legal Education,Other legal/general information,rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
48,https://chamanlawfirm.com/is-foreign-marriage-under-the-nigerian-law/,is-foreign-marriage-under-the-nigerian-law,/resources/blog/is-foreign-marriage-under-the-nigerian-law,is-foreign-marriage-under-the-nigerian-law,HOW VALID IS FOREIGN MARRIAGE UNDER NIGERIAN LAW,HOW VALID IS FOREIGN MARRIAGE UNDER NIGERIAN LAW,"HOW VALID IS FOREIGN MARRIAGE UNDER THE NIGERIAN LAW, The customary procedure among Nigerians who reside abroad has been to..",227,9164,Family Law,"Family, marriage and divorce",migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",failed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,image recovery/fallback required
49,https://chamanlawfirm.com/how-to-file-complaint-against-police-officers-in-nigeria/,how-to-file-complaint-against-police-officers-in-nigeria,/resources/blog/how-to-file-complaint-against-police-officers-in-nigeria,how-to-file-complaint-against-police-officers-in-nigeria,How To File Complaint Against Police Officers In Nigeria,,,226,14028,Litigation and Dispute Resolution,"Criminal law, police and reporting crime",rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
50,https://chamanlawfirm.com/abandonment-and-withdrew-of-court-action/,abandonment-and-withdrew-of-court-action,/resources/blog/abandonment-and-withdrew-of-court-action,abandonment-and-withdrew-of-court-action,What You Need to Know About Consequence of Abandonment and Withdrew of Court Action in Nigeria,Proven Steps on Abandonment and Withdrew of Court Action,"Chaman Law Firm explains the consequences of Abandonment and Withdrew of Court Action in Nigeria, clarity and guidance on litigation decisions",219,10144,Litigation and Dispute Resolution,Court jurisdiction and civil procedure,migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",patched,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,image recovery/fallback required
51,https://chamanlawfirm.com/taxation-of-sole-proprietorship/,taxation-of-sole-proprietorship,/resources/blog/taxation-of-sole-proprietorship,taxation-of-sole-proprietorship,Taxation Of Sole Proprietorship,,,215,10558,Legal Education,Tax law and administration,rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
52,https://chamanlawfirm.com/customary-vs-statutory-marriage-in-nigeria/,customary-vs-statutory-marriage-in-nigeria,/resources/blog/customary-vs-statutory-marriage-in-nigeria,customary-vs-statutory-marriage-in-nigeria,Customary Vs Statutory Marriage In Nigeria,,,214,22906,Family Law,"Family, marriage and divorce",rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
53,https://chamanlawfirm.com/powerful-steps-what-is-trespass-to-land-2/,powerful-steps-what-is-trespass-to-land-2,/resources/blog/powerful-steps-what-is-trespass-to-land-2,powerful-steps-what-is-trespass-to-land-2,What is Trespass to Land,Powerful Steps: What is Trespass to Land | Chaman Law Firm,"Learn What is Trespass to Land means, including its legal definition, examples, consequences, and remedies available under Nigerian property law.",212,17921,Legal Education,Other legal/general information,migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",failed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,image recovery/fallback required
54,https://chamanlawfirm.com/the-role-of-technology-in-nigerian-education/,the-role-of-technology-in-nigerian-education,/resources/blog/the-role-of-technology-in-nigerian-education,the-role-of-technology-in-nigerian-education,The Role Of Technology In Nigerian Education,,,210,19932,Legal Education,Other legal/general information,rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
55,https://chamanlawfirm.com/certificate-of-occupancy-in-rivers-state/,certificate-of-occupancy-in-rivers-state,/resources/blog/certificate-of-occupancy-in-rivers-state,certificate-of-occupancy-in-rivers-state,Certificate Of Occupancy In Rivers State,,,210,5338,Property and Real Estate Law,Certificate of Occupancy and right of occupancy,rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
56,https://chamanlawfirm.com/the-duties-of-lawyers-to-client/,the-duties-of-lawyers-to-client,/resources/blog/the-duties-of-lawyers-to-client,the-duties-of-lawyers-to-client,The Duties of Lawyers to Clients: 6 Essential Responsibilities for Trust and Success,The Duties of Lawyers to Clients: 6 Essential Responsibilities for Trust and Success,"THE DUTIES OF LAWYERS TO CLIENT There are ethics and professional code of conduct which a lawyer must adhere to. In Nigeria, lawyers are bound by the rules of professional conduct (RPC). The rules of professional cond...",202,10665,Legal Education,Other legal/general information,migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",patched,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,image recovery/fallback required
57,https://chamanlawfirm.com/duties-of-correctional-institutions-in-nigeria/,duties-of-correctional-institutions-in-nigeria,/resources/blog/duties-of-correctional-institutions-in-nigeria,duties-of-correctional-institutions-in-nigeria,Duties Of Correctional Institutions In Nigeria,,,197,25303,Legal Education,Other legal/general information,rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
58,https://chamanlawfirm.com/how-to-secure-child-support-and-maintenance/,how-to-secure-child-support-and-maintenance,/resources/blog/how-to-secure-child-support-and-maintenance,how-to-secure-child-support-and-maintenance,How To Secure Child Support And Maintenance,,,194,18502,Legal Education,Other legal/general information,rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
59,https://chamanlawfirm.com/to-apply-for-and-get-certificate-of-occupancy/,to-apply-for-and-get-certificate-of-occupancy,/resources/blog/to-apply-for-and-get-certificate-of-occupancy,to-apply-for-and-get-certificate-of-occupancy,To Apply For And Get Certificate Of Occupancy,,,188,21261,Property and Real Estate Law,Certificate of Occupancy and right of occupancy,rewrite then migrate,"Charles Chukwuma Nkwoka, Esq.",image-needed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,source body not present in Phase 5C prepared drafts; SEO title requires RankMath/source preservation or rewrite; meta description requires RankMath/source preservation or rewrite; image recovery/fallback required
60,https://chamanlawfirm.com/stamping-and-up-stamping-of-a-mortgage-document/,stamping-and-up-stamping-of-a-mortgage-document,/resources/blog/stamping-and-up-stamping-of-a-mortgage-document,stamping-and-up-stamping-of-a-mortgage-document,What is Stamping and Up-Stamping of a Mortgage Document,Proven: Stamping and Up-Stamping of a Mortgage Document,process of Stamping and Up-Stamping of a Mortgage Document for commercial properties and why it matters for legal and financial transactions.,187,6730,Legal Education,Other legal/general information,migrate - preserve and QA,"Charles Chukwuma Nkwoka, Esq.",failed,pending lawyer review,pending lawyer review,pending - activate only after target live and final launch approval,excluded until approved,image recovery/fallback required
